[2018-10-24 14:43:39,836418] admin.INFO  [5caf351b] [d4dff3a5] [2] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_product_product_new"]  [GET, /html/admin/product/product/new, 10.240.1.65, http://ec-cute-kaku87.c9users.io/html/admin/product, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:52,074826] admin.INFO  [NULL] [ea6ca6ae] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /html/admin/setting/system/log, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/product/product/new, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:52,105892] admin.INFO  [5caf351b] [ea6ca6ae] [2] [LogListener:onKernelRequest:60] - PROCESS START ["admin_setting_system_log"]  [GET, /html/admin/setting/system/log, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/product/product/new, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:52,142340] admin.INFO  [5caf351b] [ea6ca6ae] [2] [LogListener:onKernelController:73] - LOGIC START ["admin_setting_system_log"]  [GET, /html/admin/setting/system/log, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/product/product/new, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:52,255959] admin.INFO  [5caf351b] [ea6ca6ae] [2] [LogListener:onKernelResponse:86] - LOGIC END ["admin_setting_system_log"]  [GET, /html/admin/setting/system/log, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/product/product/new, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:52,258882] admin.INFO  [5caf351b] [ea6ca6ae] [2] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_setting_system_log"]  [GET, /html/admin/setting/system/log, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/product/product/new, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:57,768856] admin.INFO  [NULL] [cf76684b] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /html/admin/setting/system/masterdata, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/setting/system/log, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:57,798428] admin.INFO  [5caf351b] [cf76684b] [2] [LogListener:onKernelRequest:60] - PROCESS START ["admin_setting_system_masterdata"]  [GET, /html/admin/setting/system/masterdata, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/setting/system/log, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:57,834984] admin.INFO  [5caf351b] [cf76684b] [2] [LogListener:onKernelController:73] - LOGIC START ["admin_setting_system_masterdata"]  [GET, /html/admin/setting/system/masterdata, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/setting/system/log, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:58,201211] admin.INFO  [5caf351b] [cf76684b] [2] [LogListener:onKernelResponse:86] - LOGIC END ["admin_setting_system_masterdata"]  [GET, /html/admin/setting/system/masterdata, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/setting/system/log, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:58,204010] admin.INFO  [5caf351b] [cf76684b] [2] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_setting_system_masterdata"]  [GET, /html/admin/setting/system/masterdata, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/setting/system/log, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:44:01,197075] admin.INFO  [NULL] [bf7f7a7b] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /html/admin/setting/system/masterdata, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/setting/system/masterdata, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
